id_order_header,ppkb_code,company_name,location_from_name,location_to_name
2022251,252701002292,"GEDE KADEK BROTHERS, PT",,
2022238,255101003867,PT INDOMAS KARYA NUSANTARA,RAPP Penyengat Futong Dermaga II,LAUT
2022215,255101003883,PT INDOMAS KARYA NUSANTARA,RAPP Penyengat Futong Dermaga III,LAUT
2022211,255101003854,ARMADA MARITIM NUSANTARA (AMN),LAUT,Area Labuh Kapal Cargo
2022208,254501002327,"PELAYARAN PUTRA OBI MANDIRI, PT",A. YANI 1,LAUT (TERNATE)
2022207,251901041100,"PELAYARAN LESTARI PAPUA BAHARI, PT",TERSUS BAYAN RESOURCES TBK. (SINYIUR),AREA LABUH ZONA 3B
2022196,252001005544,PT. ADHIGANA PARADUTA MULYA,TERSUS PT. SUMBER TANI AGUNG OILS AND FATS,LAUT
2022197,252001005544,PT. ADHIGANA PARADUTA MULYA,TERSUS PT. SUMBER TANI AGUNG OILS AND FATS,LAUT
2022194,253101001505,"DAMAI LAUTAN NUSANTARA, PT",NUSANTARA II,LAUT
2022193,254001006352,SANDICO OCEAN LINE.,LAUT,PT. PACIFIC GRANITAMA DERMAGA 1
2022225,251801004543,"TANTO INTIM LINES, PT",HATTA - PETIKEMAS,LAUT
2022223,254001006360,SANDICO OCEAN LINE.,LAUT,PT. PACIFIC GRANITAMA DERMAGA 1
2022219,251901040100,"PELAYARAN MARINDO PACIFIC, PT",TERSUS LANNA HARITA INDONESIA,AREA LABUH ZONA 2
2022170,251901002134,"PELAYARAN MARINDO PACIFIC, PT",AREA LABUH ZONA 3A,TERSUS LANNA HARITA INDONESIA
2022190,251901040464,"PELAYARAN MARINDO PACIFIC, PT",AREA LABUH ZONA 3A,TERSUS LANNA HARITA INDONESIA
2022184,251901040656,"MARITEL BAHTERA ABADI, PT",AREA LABUH ZONA 3B,AREA LABUH ZONA 3A
2022186,251901040656,"MARITEL BAHTERA ABADI, PT",AREA LABUH ZONA 3B,AREA LABUH ZONA 3A
2022185,251901040656,"MARITEL BAHTERA ABADI, PT",AREA LABUH ZONA 3B,AREA LABUH ZONA 3A
2022183,253701006531,"SOLID PELAYARAN INDONESIA, PT",TUKS PT. BINTAN ALUMINA INDONESIA,LAUT KIJANG
2022181,252501031669,"MULTI LINE BORNEO, PT",AMBANG LUAR,LAUT
2022179,255701021637,PT. PELAYARAN TRI TUNGGAL SAMUDERA BAHAGIA,STAGEN JETTY 3,LAUT
2022156,252501032078,"MULTI LINE BORNEO, PT",AMBANG LUAR,LAUT
2022155,255801017800,"PERTAMINA TRANS KONTINENTAL, PT JAKARTA",LABUH STS (K),LAUT
2022152,252501031496,"MULTI LINE BORNEO, PT",REDE TRISAKTI,LAUT
2022149,252501032172,"MULTI LINE BORNEO, PT",AMBANG LUAR,LAUT
2022148,251401007467,PT. MITRA SAMUDERA SUKSES,TERSUS PT. CV.REZKY UTAMA,LAUT(KOLONODALE)
2022147,252501032029,"MULTI LINE BORNEO, PT",AMBANG LUAR,LAUT
2022127,251301017328,"BINA HASRAT MURNI, PT",MIRAH TIMUR,ZONA LABUH 2 (SURABAYA)
2022124,251901042071,"KARYA BINTANG TIMUR, PT",AREA LABUH PERAIRAN STS (SHIP TO SHIP TRANSFER) MUARA BERAU,AREA LABUH ZONA 3A
2022164,251401007470,PT. MITRA SAMUDERA SUKSES,TERSUS PT. CV.REZKY UTAMA,LAUT(KOLONODALE)
2022160,251901042468,"PRIMA SARANA LESTARI, PT",LAUT,AREA LABUH ZONA 5
2022163,251901042468,"PRIMA SARANA LESTARI, PT",LAUT,AREA LABUH ZONA 5
2022162,251901042468,"PRIMA SARANA LESTARI, PT",LAUT,AREA LABUH ZONA 5
2022161,251901042468,"PRIMA SARANA LESTARI, PT",LAUT,AREA LABUH ZONA 5
2022158,252501032122,"MULTI LINE BORNEO, PT",AMBANG LUAR,LAUT
2022116,251901041534,"PELAYARAN MARINDO PACIFIC, PT",JETTY AMBARAWANG,LAUT KUALA SAMBOJA
2022109,251901040561,"KARYA BINTANG TIMUR, PT",TUKS ADIMITRA BARATAMA NUSANTARA,AREA LABUH ZONA 2
2022108,259201000996,PT THOMAS TANGGUH TRANSPORT,TERSUS Dermaga Sinergi Agro Industri,TERSUS Dermaga IPS 3
2022104,253501003317,"CEMERLANG MAKMUR ABADI, PT",AREA LABUH KAPAL BARANG / UMUM,TERSUS PT. PRO INTERTEC INDONESIA
2022103,255201009124,"SEGARA MITRA ABADI, PT",LAUT,TUKS PT. INDAH KIAT PULP & PAPER 1
2022120,251001005011,PT. SEDERHANA SUKSES MANDIRI LAUT,PERKEBUNAN NUSANTARA VI,REDE UMUM WIL JAMBI
2022118,255201009056,PT. SAMUDERA SARANA KARUNIA,TUKS PT. MUSIM MAS,LAUT
2022074,251201002764,PT AULIA SAMUDERA MANDIRI,LAUT,DERMAGA VII PELINDO BANTEN
2022072,256701002783,"MERATUS LINE, PT",LAUT,DERMAGA VIII - TPB
2022070,253701006546,PEL ANGKUTAN LAUT BINTANG,TUKS PT. BINTANG KARTIKA,LAUT KIJANG
2022066,258301004581,"SEROJA JAYA AGENSI, PT",AREA LABUH AREA KOLAM PELABUHAN BAGENDANG,TUKS PT. WILMAR NABATI INDONESIA
2022102,251901040069,"PELAYARAN PESUT MAHAKAM INDAH, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 4
2022101,251901040069,"PELAYARAN PESUT MAHAKAM INDAH, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 4
2022100,251901040069,"PELAYARAN PESUT MAHAKAM INDAH, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 4
2022099,251901040069,"PELAYARAN PESUT MAHAKAM INDAH, PT",AREA LABUH ZONA 3A,AREA LABUH ZONA 4
2022097,254001006287,"NASIONAL GLOBAL KARIMUN, PT",PT. KARIMUN MARINE SHIPYARD DERMAGA 1,PT. BUKIT ALAM PERSADA DERMAGA 1
2022096,258701000262,PERTAMINA TRANS KONTINENTAL,Area Labuh KAPAL SBM PERTAMINA,Dermaga TUKS PT. WARUNA NUSA SENTANA DOCK PINGGIRAN
2022091,257001003580,"SALAM PACIFIC INDONESIA LINES, PT  PUSAT AMBON",LAUT (AMBON),Area Labuh KAPAL KARGO & PETIKEMAS
2022089,257001003581,"SALAM PACIFIC INDONESIA LINES, PT  PUSAT AMBON",LAUT (AMBON),Area Labuh KAPAL KARGO & PETIKEMAS
2022084,251901041891,"KARYA BINTANG TIMUR, PT",TERSUS KUTAI BARA ABADI,AREA LABUH ZONA 2
2022087,251901041891,"KARYA BINTANG TIMUR, PT",TERSUS KUTAI BARA ABADI,AREA LABUH ZONA 2
2022086,251901041891,"KARYA BINTANG TIMUR, PT",TERSUS KUTAI BARA ABADI,AREA LABUH ZONA 2
2022085,251901041891,"KARYA BINTANG TIMUR, PT",TERSUS KUTAI BARA ABADI,AREA LABUH ZONA 2
2022056,251901040975,"DANNY SAMUDERA RAYA LINE, PT",TERSUS BAYAN RESOURCES TBK. (SINYIUR),AREA LABUH ZONA 3B
2022054,258301004661,"TEMAS SHIPPING, PT",LAUT,AREA LABUH AREA KOLAM PELABUHAN BAGENDANG
2022053,251901041282,"DANNY SAMUDERA RAYA LINE, PT",TERSUS BAYAN RESOURCES TBK. (SINYIUR),AREA LABUH ZONA 3B
2022051,251901041552,"DANNY SAMUDERA RAYA LINE, PT",TERSUS BAYAN RESOURCES TBK. (SINYIUR),AREA LABUH ZONA 3B
2022049,251301016715,"LINTAS SERAM MANDIRI, PT",NILAM TIMUR,ZONA LABUH 2 (SURABAYA)
2022048,256701002530,PT SEROJA JAYA AGENSI,"DERMAGA PT. AKR CORPORINDO, TBK",AREA LABUH KAPAL TANGKER
2022047,254001006275,"PELAYARAN SELAT KARIMUN, PT",PT. MIRASINDO PERDANA DERMAGA 1,LAUT
2022046,251901030284,"DANNY SAMUDERA RAYA LINE, PT",TERSUS BAYAN RESOURCES TBK. (SINYIUR),AREA LABUH ZONA 3B
2022044,251401007619,"SAFINAH SAMUDERA SHIPPING, PT",LAUT(KOLONODALE),TERSUS PT. USAHA KITA KINERJA TAMA
2022042,251801004557,PT DHARMA LAUTAN UTAMA,LAUT,HASANUDDIN - MULTIPURPOSE I
2022041,251401007608,"SAFINAH SAMUDERA SHIPPING, PT",LAUT(KOLONODALE),TERSUS PT. CV.REZKY UTAMA
2022037,251901040780,"DANNY SAMUDERA RAYA LINE, PT",TERSUS PT. FAJAR SAKTI PRIMA (MUARA PAHU),AREA LABUH ZONA 3B
2022039,251901040780,"DANNY SAMUDERA RAYA LINE, PT",TERSUS PT. FAJAR SAKTI PRIMA (MUARA PAHU),AREA LABUH ZONA 3B
2022038,251901040780,"DANNY SAMUDERA RAYA LINE, PT",TERSUS PT. FAJAR SAKTI PRIMA (MUARA PAHU),AREA LABUH ZONA 3B
2022036,254001006362,"NASIONAL GLOBAL KARIMUN, PT",LAUT,PT. BUKIT ALAM PERSADA DERMAGA 1
2022033,251901040772,"DANNY SAMUDERA RAYA LINE, PT",TERSUS PT. FAJAR SAKTI PRIMA (MUARA PAHU),AREA LABUH ZONA 3B
2022035,251901040772,"DANNY SAMUDERA RAYA LINE, PT",TERSUS PT. FAJAR SAKTI PRIMA (MUARA PAHU),AREA LABUH ZONA 3B
2022034,251901040772,"DANNY SAMUDERA RAYA LINE, PT",TERSUS PT. FAJAR SAKTI PRIMA (MUARA PAHU),AREA LABUH ZONA 3B
2022061,251201002777,PT. RIZKY ARMADA NUSANTARA BAHARI,TUKS PT. AGUNG JAYA REZEKI MULIA,LAUT
2022059,251901041289,"DANNY SAMUDERA RAYA LINE, PT",TERSUS BAYAN RESOURCES TBK. (SINYIUR),AREA LABUH ZONA 3B
2022016,251901041125,"DANNY SAMUDERA RAYA LINE, PT",TERSUS BAYAN RESOURCES TBK. (SINYIUR),AREA LABUH ZONA 3B
2022015,251801004556,PT DHARMA LAUTAN UTAMA,LAUT,SOEKARNO - RO RO
2022012,250101012386,PT YANSA NUSANTARA LINES,LAUT,OPERASI TERMINAL I - EKA NURI KJ4
2022010,251001004988,PT. PERTAMINA TRANS KONTINENTAL,DERMAGA PERTAMINA,REDE UMUM WIL JAMBI
2022006,250101012153,PT BUKIT MERAPIN NUSANTARA LINES,LAUT,DOCK KOJA BAHARI I
2022005,251801004558,"PELAYARAN NASIONAL INDONESIA, PT",LAUT,SOEKARNO PENUMPANG
2022026,251901040665,"DANNY SAMUDERA RAYA LINE, PT",TERSUS PT. FAJAR SAKTI PRIMA (MUARA PAHU),AREA LABUH ZONA 3B
2022028,251901040665,"DANNY SAMUDERA RAYA LINE, PT",TERSUS PT. FAJAR SAKTI PRIMA (MUARA PAHU),AREA LABUH ZONA 3B
2022027,251901040665,"DANNY SAMUDERA RAYA LINE, PT",TERSUS PT. FAJAR SAKTI PRIMA (MUARA PAHU),AREA LABUH ZONA 3B
2022022,251901040774,"DANNY SAMUDERA RAYA LINE, PT",TERSUS PT. FAJAR SAKTI PRIMA (MUARA PAHU),AREA LABUH ZONA 3B
2022024,251901040774,"DANNY SAMUDERA RAYA LINE, PT",TERSUS PT. FAJAR SAKTI PRIMA (MUARA PAHU),AREA LABUH ZONA 3B
2022023,251901040774,"DANNY SAMUDERA RAYA LINE, PT",TERSUS PT. FAJAR SAKTI PRIMA (MUARA PAHU),AREA LABUH ZONA 3B
2022020,251801004563,"PELAYARAN NASIONAL INDONESIA, PT",LAUT,SOEKARNO - RO RO
